row_label,strat_type,sex,value,breakdown_cat_label,breakdown_var,outcome_var,table_id
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,11.4,≤ lower secondary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,13.9,upper secondary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,16.7,tertiary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,14.2,total,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,12.9,≤ lower secondary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,14.3,upper secondary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,20.1,tertiary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,14.2,total,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,12.8,≤ lower secondary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,14.2,upper secondary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,18.8,tertiary,education,hourly_wage,Tav.1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,14.2,total,education,hourly_wage,Tav.1
F - Costruzioni,sector,Female,11.2,≤ lower secondary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Female,12.7,upper secondary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Female,15.1,tertiary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Female,13.1,total,education,hourly_wage,Tav.1
F - Costruzioni,sector,Male,13,≤ lower secondary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Male,13.7,upper secondary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Male,20.6,tertiary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Male,13.8,total,education,hourly_wage,Tav.1
F - Costruzioni,sector,Total,12.9,≤ lower secondary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Total,13.5,upper secondary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Total,18.8,tertiary,education,hourly_wage,Tav.1
F - Costruzioni,sector,Total,13.7,total,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,10.9,≤ lower secondary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,11.8,upper secondary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,16.3,tertiary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,12.5,total,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,12.2,≤ lower secondary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,14.4,upper secondary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,22.3,tertiary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,14.8,total,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,11.7,≤ lower secondary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,13.1,upper secondary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,19.1,tertiary,education,hourly_wage,Tav.1
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,13.7,total,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Female,11,≤ lower secondary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Female,13.3,upper secondary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Female,15.6,tertiary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Female,13.5,total,education,hourly_wage,Tav.1
