row_label,strat_type,sex,breakdown_cat,value,breakdown_var,outcome_var,table_id,nuts1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,total,17.3,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,≤ lower secondary,14,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,upper secondary,16.4,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,tertiary,22.6,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,total,16.9,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Female,≤ lower secondary,12.1,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Female,upper secondary,14.7,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Female,tertiary,19.6,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Female,total,15.9,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Male,≤ lower secondary,13.7,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Male,upper secondary,16.3,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Male,tertiary,24.5,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Male,total,17.5,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Total,≤ lower secondary,13.4,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Total,upper secondary,16,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Total,tertiary,23.2,education,hourly_wage,Tav.1,NA
CL - Fabbricazione di mezzi di trasporto,sector,Total,total,17.2,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,≤ lower secondary,11.1,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,upper secondary,12.7,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,tertiary,15,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,total,12.8,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,≤ lower secondary,12.4,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,upper secondary,14.2,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,tertiary,19.8,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,total,14.2,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,≤ lower secondary,12.1,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,upper secondary,13.8,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,tertiary,17.9,education,hourly_wage,Tav.1,NA
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,total,13.8,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,≤ lower secondary,16.6,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,upper secondary,17.8,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,tertiary,21.7,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,total,19.8,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,≤ lower secondary,17.6,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,upper secondary,20.8,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,tertiary,27.5,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,total,22.4,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,≤ lower secondary,17.5,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,upper secondary,20.3,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,tertiary,25.4,education,hourly_wage,Tav.1,NA
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,total,21.8,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,≤ lower secondary,11.4,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,upper secondary,13.9,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,tertiary,16.7,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Female,total,14.2,education,hourly_wage,Tav.1,NA
